stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1930,255,Burns Rd & Cliffglen Way IB,,33.910511999999997,-84.121632000000005,,,0,,0
1931,256,Burns Rd &  Garner Way,,33.910285000000002,-84.122048000000007,,,0,,0
1933,301,Courtland St & Ellis St (100/103A),,33.758490000000002,-84.384309999999999,,,0,,0
1934,316,Centerview Dr & Ferguson Elementary OB,,33.950769999999999,-84.123157000000006,,,0,,0
1935,318,Best Friend Rd & Button Gwinnett Dr OB,,33.913848000000002,-84.236614000000003,,,0,,0
1936,324,Graves Rd & McDonough Dr IB,,33.902555999999997,-84.222560000000001,,,0,,0
1937,326,Graves Rd & Osborne Dr,,33.899822999999998,-84.220848000000004,,,0,,0
1938,390,Indian Tr & Wuthering Way (CPA) IB,,33.909824999999998,-84.157203999999993,,,0,,0
1939,392,Jimmy Carter Blvd & Atlantic Blvd,,33.939537000000001,-84.236704000000003,,,0,,0
194,194,Buford Hwy & N Norcross Tucker Rd OB,,33.935271999999998,-84.215706999999995,,,0,,0
1940,419,Jimmy Carter Blvd & O'Riley,,33.922873000000003,-84.213173999999995,,,0,,0
1941,421,Jimmy Carter Blvd & Pacific Dr,,33.935445999999999,-84.227954999999994,,,0,,0
1942,434,Jimmy Carter Blvd & Pacific Dr (Granite),,33.935634999999998,-84.228432999999995,,,0,,0
1943,443,Lawrenceville Hwy & Main St,,33.892549000000002,-84.141506000000007,,,0,,0
1944,452,Lawrenceville Hwy & Harmony Grove Rd IB,,33.880772,-84.164720000000003,,,0,,0
1945,454,Lawrenceville Hwy & Harbins Rd IB,,33.888959,-84.155235000000005,,,0,,0
1946,455,Lawrenceville Hwy & Harbins Rd OB,,33.889201999999997,-84.155506000000003,,,0,,0
1947,456,Lawrenceville Hwy & Harmony Grove Rd OB,,33.881219999999999,-84.164514999999994,,,0,,0
1948,459,Lawrenceville Hwy & Kenvilla Dr IB,,33.875644000000001,-84.170503999999994,,,0,,0
1949,460,Lawrenceville Hwy & Kenvilla Dr OB,,33.876120999999998,-84.170286000000004,,,0,,0
195,195,Buford Hwy & Oakcliff Rd,,33.912027999999999,-84.264162999999996,,,0,,0
1950,464,Lawrenceville Hwy & Lilburn School Rd OB,,33.889747999999997,-84.151590999999996,,,0,,0
1951,468,Lawrenceville Suwanee Rd & Old Norcross ,,33.956685999999998,-84.018225000000001,,,0,,0
