trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1115070,10,3,"MARTA ARTS CENTER STATION",,0,1323707,shp-10-03,0,0
1120090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1468309,shp-50-01,0,0
1122090,10,2,"MARIETTA TRANSFER CENTER",,1,1466709,shp-10-52,0,0
1125090,10,2,"MARTA ARTS CENTER STATION",,0,1467109,shp-10-03,0,0
1128090,40,2,"MARIETTA TRANSFER CENTER",,1,1470809,shp-40-51,0,0
1133020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1454902,shp-20-03,0,0
1138090,30,2,"MARIETTA TRANSFER CENTER",,1,1470109,shp-30-52,0,0
114090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1467509,shp-20-03,0,0
1143070,25,3,"MARTA HOLMES STATION",,0,1325007,shp-25-51,0,0
1149020,10,1,"MARIETTA TRANSFER CENTER",,1,1452902,shp-10-52,0,0
1151010,10,4,"MARIETTA TRANSFER CENTER",,1,1311301,shp-10-52,0,0
1156020,20,1,"MARIETTA TRANSFER CENTER",,1,1454902,shp-20-54,0,0
1157020,50,1,"CUMBERLAND TRANSFER CENTER",,0,1455002,shp-50-01,0,0
1158090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1467209,shp-20-03,0,0
1162070,50,3,"CUMBERLAND TRANSFER CENTER",,0,1322607,shp-50-01,0,0
1165090,50,2,"MARIETTA TRANSFER CENTER",,1,1467809,shp-50-51,0,0
1168070,RAPID,3,"MARTA ARTS CENTER STATION with limited stops",,0,1322907,shp-Rapid-01,0,0
1173020,15,1,"CUMBERLAND TRANSFER CENTER",,0,1453102,shp-15-01,0,0
118020,45,1,"MARIETTA TRANSFER CENTER",,1,1457602,shp-45-51,0,0
1181070,15,3,"MARIETTA TRANSFER CENTER",,1,1323407,shp-15-51,0,0
1182020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1454502,shp-20-03,0,0
876070,50,3,"MARIETTA TRANSFER CENTER",,1,1322607,shp-50-51,0,0
878070,10,3,"MARIETTA TRANSFER CENTER",,1,1322107,shp-10-52,0,0
881010,RAPID,4,"MARTA ARTS CENTER STATION with limited stops",,0,1311401,shp-Rapid-01,0,0
883090,RAPID,2,"MARTA ARTS CENTER STATION with limited stops",,0,1471109,shp-Rapid-01,0,0
884090,15,2,"MARIETTA TRANSFER CENTER",,1,1469009,shp-15-51,0,0
885020,20,1,"MARIETTA TRANSFER CENTER",,1,1454902,shp-20-54,0,0
888010,15,4,"CUMBERLAND TRANSFER CENTER",,0,1311101,shp-15-01,0,0
889010,BLUE,4,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1312501,shp-Blue-01,0,0
892090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1468309,shp-50-01,0,0
